x,phiSquared
-3,6.711236690355688e-105
-2.976470588235294,2.283003609413175e-103
-2.952941176470588,4.341176837773833e-101
-2.929411764705882,1.183153491879323e-98
-2.905882352941176,3.310068426451971e-97
-2.882352941176471,8.657802846642239e-95
-2.858823529411765,9.93211332853141e-93
-2.835294117647059,8.291721371084376e-94
-2.811764705882353,9.900695707215057e-88
-2.788235294117647,8.548583691590934e-88
-2.764705882352941,2.386056821843774e-84
-2.741176470588235,2.420756375947146e-83
-2.71764705882353,2.562935241849897e-81
-2.694117647058824,2.454310409241286e-79
-2.670588235294117,1.863826307990882e-77
-2.647058823529412,1.026754899223898e-75
-2.623529411764706,1.17080348766298e-74
-2.6,8.048515421361794e-73
-2.576470588235294,2.541452457558145e-71
-2.552941176470588,1.792971127820443e-69
-2.529411764705882,1.272286633212706e-68
-2.505882352941176,1.838734831745515e-67
-2.482352941176471,2.775276643902173e-66
-2.458823529411765,6.293038840933104e-65
-2.435294117647059,3.921697294291742e-64
-2.411764705882353,1.77481568270469e-63
-2.388235294117647,1.482245950799994e-62
-2.364705882352941,6.731192792190671e-62
-2.341176470588235,1.628853935015915e-61
-2.317647058823529,6.348937704906917e-61
-2.294117647058823,2.06304305260583e-60
-2.270588235294118,1.235286930197416e-59
-2.247058823529412,4.179326329699329e-60
-2.223529411764706,3.239903425393171e-57
-2.2,3.599663785722618e-55
-2.176470588235294,2.837090468216055e-53
-2.152941176470588,1.808712679084188e-51
-2.129411764705882,9.734697033611861e-50
-2.105882352941177,4.534390450201218e-48
-2.082352941176471,1.858760038576083e-46
-2.058823529411764,6.785865650814457e-45
-2.035294117647059,2.225980732289831e-43
-2.011764705882353,6.606440628353534e-42
-1.988235294117647,1.783798398757761e-40
-1.964705882352941,4.40182846058115e-39
-1.941176470588235,9.965348098256236e-38
-1.917647058823529,2.076579256188253e-36
-1.894117647058823,3.994304862956815e-35
-1.870588235294118,7.109920246560486e-34
-1.847058823529412,1.173805891357847e-32
-1.823529411764706,1.801017904437211e-31
-1.8,2.572965461889543e-30
-1.776470588235294,3.428334109730504e-29
-1.752941176470588,4.267271467593396e-28
-1.729411764705882,4.96905880276922e-27
-1.705882352941176,5.42068910589016e-26
-1.682352941176471,5.546995032828746e-25
-1.658823529411765,5.331160017732531e-24
-1.635294117647059,4.817917124158403e-23
-1.611764705882353,4.098851063841203e-22
-1.588235294117647,3.286268281697786e-21
-1.564705882352941,2.485641503618366e-20
-1.541176470588235,1.775459594749594e-19
-1.517647058823529,1.198807787819701e-18
-1.494117647058824,7.659021775315625e-18
-1.470588235294118,4.634370209933915e-17
-1.447058823529412,2.658286289655348e-16
-1.423529411764706,1.446766745350738e-15
-1.4,7.477667620379128e-15
-1.376470588235294,3.673529244586752e-14
-1.352941176470588,1.716815701088219e-13
-1.329411764705882,7.639318294025233e-13
-1.305882352941176,3.239212485345376e-12
-1.282352941176471,1.309896269394315e-11
-1.258823529411765,5.055936552652924e-11
-1.235294117647059,1.864164726529283e-10
-1.211764705882353,6.571006985573328e-10
-1.188235294117647,2.216092998272189e-09
-1.164705882352941,7.156363557936403e-09
-1.141176470588235,2.214530565739345e-08
-1.117647058823529,6.571869013667051e-08
-1.094117647058824,1.871731895173012e-07
-1.070588235294118,5.120023227475648e-07
-1.047058823529412,1.346158241870366e-06
-1.023529411764706,3.404353852122299e-06
-1,8.28709146117269e-06
-0.9764705882352942,1.943160157495427e-05
-0.9529411764705884,4.391973223933115e-05
-0.9294117647058826,9.575381304213839e-05
-0.9058823529411764,0.0002015084139107144
-0.8823529411764706,0.0004096007420889496
-0.8588235294117648,0.0008047154915204228
-0.835294117647059,0.001529027174133965
-0.8117647058823532,0.002811574231314549
-0.7882352941176469,0.005006205052520613
-0.7647058823529411,0.008636714476863263
-0.7411764705882353,0.01444503590651524
-0.7176470588235295,0.02343483805679245
-0.6941176470588237,0.0368991801107253
-0.6705882352941175,0.05641802035131881
-0.6470588235294117,0.08381067911652167
-0.6235294117647059,0.1210311390194348
-0.6000000000000001,0.1700011052502651
-0.5764705882352943,0.2323867324288943
-0.552941176470588,0.3093380753812642
-0.5294117647058822,0.4012225157640889
-0.5058823529411764,0.5073909461170164
-0.4823529411764707,0.6260153478084838
-0.4588235294117649,0.7540276037027253
-0.4352941176470591,0.8871737355883614
-0.4117647058823528,1.020179475118411
-0.388235294117647,1.147007418042582
-0.3647058823529412,1.261177371022375
-0.3411764705882354,1.356121876157064
-0.3176470588235296,1.425557296679757
-0.2941176470588234,1.463863709294714
-0.2705882352941176,1.466479091500502
-0.2470588235294118,1.430319432516866
-0.223529411764706,1.354231486783352
-0.2000000000000002,1.239465445954313
-0.1764705882352944,1.090120220420741
-0.1529411764705881,0.9134688153749094
-0.1294117647058823,0.7200277428650006
-0.1058823529411765,0.5232136451524504
-0.08235294117647074,0.3384584301220347
-0.05882352941176494,0.1817507884319707
-0.0352941176470587,0.06773234564220615
-0.0117647058823529,0.007658167649766191
0.0117647058823529,0.007658167667082944
0.0352941176470587,0.06773234569296561
0.0588235294117645,0.1817507885127871
0.08235294117647074,0.3384584302278361
0.1058823529411765,0.5232136452771772
0.1294117647058823,0.7200277430023292
0.1529411764705881,0.9134688155188653
0.1764705882352939,1.09012022056612
0.2000000000000002,1.239465446096893
0.223529411764706,1.35423148691993
0.2470588235294118,1.430319432645179
0.2705882352941176,1.466479091619077
0.2941176470588234,1.463863709402706
0.3176470588235292,1.425557296776796
0.3411764705882354,1.356121876243133
0.3647058823529412,1.26117737109771
0.388235294117647,1.147007418107617
0.4117647058823528,1.02017947517373
0.4352941176470586,0.8871737356346669
0.4588235294117649,0.7540276037408177
0.4823529411764707,0.6260153478392353
0.5058823529411764,0.5073909461413438
0.5294117647058822,0.4012225157829225
0.552941176470588,0.3093380753955149
0.5764705882352938,0.2323867324394205
0.6000000000000001,0.1700011052578473
0.6235294117647059,0.121031139024756
0.6470588235294117,0.08381067912015708
0.6705882352941175,0.05641802035373483
0.6941176470588233,0.03689918011228611
0.7176470588235295,0.02343483805777202
0.7411764705882353,0.01444503590711211
0.7647058823529411,0.008636714477216164
0.7882352941176469,0.005006205052722954
0.8117647058823527,0.00281157423142699
0.835294117647059,0.001529027174194487
0.8588235294117648,0.000804715491551957
0.8823529411764706,0.0004096007421048439
0.9058823529411764,0.0002015084139184597
0.9294117647058822,9.575381304578496e-05
0.9529411764705884,4.391973224098873e-05
0.9764705882352942,1.943160157568123e-05
1,8.287091461480088e-06
1.023529411764706,3.404353852247537e-06
1.047058823529412,1.346158241919492e-06
1.070588235294117,5.120023227661037e-07
1.094117647058823,1.871731895240272e-07
1.117647058823529,6.571869013901455e-08
1.141176470588235,2.214530565817764e-08
1.164705882352941,7.156363558188037e-09
1.188235294117647,2.216092998349579e-09
1.211764705882353,6.571006985801275e-10
1.235294117647059,1.864164726593532e-10
1.258823529411765,5.055936552826074e-11
1.28235294117647,1.309896269438899e-11
1.305882352941176,3.23921248545497e-12
1.329411764705882,7.639318294282188e-13
1.352941176470588,1.716815701145638e-13
1.376470588235294,3.673529244708932e-14
1.4,7.477667620626476e-15
1.423529411764706,1.446766745398339e-15
1.447058823529412,2.658286289742355e-16
1.470588235294118,4.634370210084832e-17
1.494117647058824,7.659021775563805e-18
1.517647058823529,1.19880778785836e-18
1.541176470588235,1.775459594806578e-19
1.564705882352941,2.485641503697773e-20
1.588235294117647,3.286268281802297e-21
1.611764705882353,4.09885106397098e-22
1.635294117647058,4.817917124310288e-23
1.658823529411765,5.331160017899878e-24
1.682352941176471,5.546995033002131e-25
1.705882352941177,5.420689106058891e-26
1.729411764705882,4.969058802923264e-27
