x,psiSquared,phiSquared
-2,1.160038888311479e-41,1.086743037318052e-40
-1.996089931573803,5.314283611144538e-41,4.977557629986623e-40
-1.992179863147605,1.365468511099605e-40,1.278554701895003e-39
-1.988269794721408,2.845138720343859e-40,2.662938535909812e-39
-1.98435972629521,5.370895916118053e-40,5.024414760722831e-39
-1.980449657869013,9.620732711190176e-40,8.994896957293134e-39
-1.976539589442815,1.672602272416016e-39,1.562805908242797e-38
-1.972629521016618,2.856294514573529e-39,2.666984767623431e-38
-1.96871945259042,4.823201468467885e-39,4.500323886776205e-38
-1.964809384164223,8.084425379897887e-39,7.537679686449175e-38
-1.960899315738025,1.348067958468552e-38,1.255950648154726e-37
-1.956989247311828,2.239206099400763e-38,2.084592926824674e-37
-1.953079178885631,3.70796378686198e-38,3.449249852332552e-37
-1.949169110459433,6.124057487957168e-38,5.692289605706962e-37
-1.945259042033236,1.009085076508823e-37,9.371979684566067e-37
-1.941348973607038,1.659110266049797e-37,1.539686729416102e-36
-1.937438905180841,2.722243739256085e-37,2.524269561178618e-36
-1.933528836754643,4.45770254344231e-37,4.130186532070995e-36
-1.929618768328446,7.285260606078576e-37,6.744533504973833e-36
-1.925708699902248,1.188338995993855e-36,1.099243455061851e-35
-1.921798631476051,1.934658773809099e-36,1.788146745655433e-35
-1.917888563049853,3.143709408329132e-36,2.903253588659324e-35
-1.913978494623656,5.098685474077019e-36,4.70482172947933e-35
-1.910068426197459,8.253816890597108e-36,7.60993134123011e-35
-1.906158357771261,1.333627893803347e-35,1.228570621896409e-34
-1.902248289345064,2.150799269088544e-35,1.979718632348996e-34
-1.898338220918866,3.462201990740192e-35,3.184144081100776e-34
-1.894428152492669,5.562807853779266e-35,5.1117507209219e-34
-1.890518084066471,8.92126835739691e-35,8.190984095741324e-34
-1.886608015640274,1.428077381619891e-34,1.310067453888975e-33
-1.882697947214076,2.281766235073502e-34,2.091433510763236e-33
-1.878787878787879,3.63903715794907e-34,3.332644202721078e-33
-1.874877810361681,5.792945111980658e-34,5.300660186809235e-33
-1.870967741935484,9.20474078902161e-34,8.415283223354898e-33
-1.867057673509287,1.45990493821579e-33,1.333542624749367e-32
-1.863147605083089,2.311213649414424e-33,2.109337557612246e-32
-1.859237536656892,3.65224367598922e-33,3.330334941627272e-32
-1.855327468230694,5.7608314267008e-33,5.248485621373516e-32
-1.851417399804496,9.070223529195723e-33,8.256310215072619e-32
-1.847507331378299,1.425475792063323e-32,1.296419362106374e-31
-1.843597262952102,2.236208877049943e-32,2.031955313154028e-31
-1.839687194525904,3.501685865641215e-32,3.179022167291885e-31
-1.835777126099707,5.4733840812628e-32,4.964612318254646e-31
-1.831867057673509,8.539849595202599e-32,7.739111901665809e-31
-1.827956989247312,1.330030818665974e-31,1.204238572692103e-30
-1.824046920821114,2.067721298597878e-31,1.870471878997564e-30
-1.820136852394917,3.208800685502684e-31,2.900071425263935e-30
-1.816226783968719,4.970677130872938e-31,4.488349689314146e-30
-1.812316715542522,7.686206851829945e-31,6.934046927601824e-30
-1.808406647116324,1.186407573327738e-30,1.069327129255656e-29
-1.804496578690127,1.828027434009026e-30,1.646113322060876e-29
-1.80058651026393,2.811642451385475e-30,2.529506662498643e-29
-1.796676441837732,4.316857231178678e-30,3.880078358045103e-29
-1.792766373411535,6.616177035322801e-30,5.941216141735373e-29
-1.788856304985337,1.012231885926015e-29,9.081174317901856e-29
-1.78494623655914,1.545923505125722e-29,1.385613455542758e-28
-1.781036168132942,2.356854127730295e-29,2.110460398704353e-28
-1.777126099706745,3.58687092515683e-29,3.208846727090742e-28
-1.773216031280547,5.4492754454906e-29,4.870336903516749e-28
-1.76930596285435,8.264248446110965e-29,7.379193780394052e-28
-1.765395894428152,1.251155199654009e-28,1.116092833689168e-27
-1.761485826001955,1.890879467311406e-28,1.685135512087784e-27
-1.757575757575758,2.85274511950335e-28,2.539885052190513e-27
-1.75366568914956,4.296454172866032e-28,3.821550702136446e-27
-1.749755620723363,6.459622036720771e-28,5.740016414110483e-27
-1.745845552297165,9.695168569510315e-28,8.606690759465767e-27
-1.741935483870968,1.45263524617695e-27,1.288280493626621e-26
