Beta	E0	VarE0	E1	VarE1	E2	VarE2
-30	-112.69	1.61e-5	-27.101	15.2114	-22.421	207.719
-29	-105.33	1.47e-5	-25.206	12.4504	-20.150	206.217
-28	-98.220	1.40e-5	-23.327	10.1162	-17.899	203.891
-27	-91.362	1.45e-5	-21.464	8.15290	-15.666	265.518
-26	-84.754	2.79e-5	-19.619	6.50733	-13.454	326.350
-25	-78.395	7.33e-5	-17.792	5.12881	-11.262	376.491
-24	-72.284	1.79e-4	-15.985	3.97078	-9.0874	416.202
-23	-66.423	4.02e-4	-14.196	2.99330	-6.9280	445.7
-22	-60.811	8.38e-4	-12.429	2.16504	-4.7820	465.156
-21	-55.449	1.61e-3	-10.683	1.46626	-2.6478	474.7
-20	-50.335	0.00285	-8.9613	0.89172	-0.5244	474.435
-19	-45.473	0.00465	-7.2666	0.45122	1.58848	464.447
-18	-40.864	0.00696	-5.6051	0.16263	3.68991	444.834
-17	-36.509	0.00956	-4.0178	11.7772	5.77754	415.745
-16	-32.41	0.01208	-2.4882	21.7293	7.8472	377.422
-15	-28.566	0.01400	-0.9933	26.9339	9.89272	330.252
-14	-24.975	0.01494	0.46896	27.7013	11.906	274.82
-13	-21.630	0.01464	1.90049	24.3098	13.8773	211.944
-12	-18.523	0.01323	3.30254	17.0153	15.7957	142.677
-11	-15.643	0.01099	4.6762	6.0558	17.6498	69.5403
-10	-12.973	0.00844	6.01646	0.00268	19.4295	57.5397
-9	-10.498	5.93e-3	7.33066	0.05029	21.1260	46.1205
-8	-8.2006	3.81e-3	8.62496	0.07186	22.733	35.615
-7	-6.0623	0.00223	9.89926	0.08578	24.2475	26.3109
-6	-4.0669	0.00114	11.1532	0.08921	25.6695	18.4211
-5	-2.1975	0.00050	12.3866	0.08200	27.0032	12.0435
-4	-0.4398	1.69e-4	13.5996	0.06620	28.2552	7.17783
-3	1.22079	5.08e-5	14.7923	0.04528	29.4343	3.71974
-2	2.79476	1.02e-5	15.9654	0.02379	30.5503	1.50987
-1	4.29241	5.83e-7	17.1194	0.00687	31.6129	0.34241
0	5.72316	2.1e-12	18.2550	4.4e-12	32.6320	2.4e-11
1	7.0949	4.74e-7	19.3732	0.00873	33.6159	0.27736
2	8.41446	6.68e-6	20.4747	0.03863	34.5721	0.99321
3	9.68769	2.96e-5	21.5604	0.09506	35.5067	1.99649
4	10.9196	8.14e-5	22.631	0.18318	36.4246	3.16726
5	12.1146	0.00017	23.6874	0.30785	37.3298	4.41460
6	13.2765	3.09e-4	24.7303	0.47360	38.2251	5.67237
7	14.4084	4.94e-4	25.7605	0.68463	39.1128	6.89499
8	15.5133	7.26e-4	26.7785	0.94481	39.9945	8.05266
9	16.5935	0.00100	27.7851	1.25763	40.8714	9.12784
10	17.6512	0.00132	28.7808	1.62628	41.7443	10.1117
11	18.6884	1.65e-3	29.7662	2.05362	42.6136	11.0017
12	19.7066	0.00201	30.7418	2.54221	43.4798	11.7995
13	20.7073	0.00239	31.7081	3.09432	44.3431	12.5095
14	21.6918	0.00277	32.6654	3.71195	45.2034	13.1379
15	22.6613	0.00314	33.6144	4.39687	46.0609	13.6915
16	23.6168	.003514	34.5552	5.15059	46.9155	14.1776
17	24.5593	.003871	35.4883	5.97444	47.7671	14.6035
18	25.4894	.004210	36.414	6.86954	48.6156	14.9759
19	26.4081	.004529	37.3327	7.83682	49.4611	15.3015
20	27.3159	.004825	38.2445	8.87707	50.3033	15.5863
21	28.2134	.005096	39.1499	9.99092	51.1423	15.8356
22	29.1013	.005342	40.049	11.1789	51.9779	16.0545
23	29.9801	.005563	40.942	12.4413	52.8102	16.2474
24	30.8501	.005757	41.8293	13.7784	53.6389	16.4182
25	31.7118	.005925	42.7110	15.1905	54.4642	16.5703
26	32.5657	.006069	43.5873	16.6775	55.2859	16.7069
27	33.412	.006189	44.4584	18.2395	56.104	16.8306
28	34.2512	.006287	45.3244	19.8764	56.9186	16.9439
29	35.0834	.006363	46.1856	21.5881	57.7296	17.0488
30	35.9090	.006419	47.0421	23.3743	58.5370	17.1470
