Beta	E0	VarE0	E1	VarE1	E2	VarE2
-30	-112.67	2.80e-5	-27.457	0.88690	-22.291	111.982
-29	-105.30	2.66e-5	-25.404	0.74464	-20.225	112.73
-28	-98.191	2.64e-5	-23.375	.540491	-18.346	112.91
-27	-91.331	2.85e-5	-21.419	.422327	-16.467	112.918
-26	-84.717	5.14e-5	-19.512	.315959	-14.586	112.647
-25	-78.350	1.38e-4	-17.679	.261735	-12.425	111.778
-24	-72.231	3.34e-4	-15.915	.251141	-10.644	110.085
-23	-66.358	7.99e-4	-14.200	.244525	-8.7471	108.363
-22	-60.729	1.71e-3	-12.533	.242503	-6.9740	105.692
-21	-55.347	3.34e-3	-10.913	.247452	-5.7116	102.576
-20	-50.211	6.21e-3	-9.3410	.264392	-3.1976	100.631
-19	-45.321	0.01048	-7.8167	.305306	-1.4799	97.9817
-18	-40.68	0.0162	-6.34	0.406	0.4107	95.77
-17	-36.295	0.0232	-4.922	.7283	2.3845	92.98
-16	-32.16	0.03	-3.43	0.28	4.33	92.8
-15	-28.39	0.037	-2.11	1.53	6.19	90.48
-12	-18.22	0.04	1.86	0.56	10.61	54.4
-9	-10.28	0.021	5.52	0.508	15.19	32.31
-6	-4.07	0.004	8.92	0.56	19.13	13.904
-3	0.8876	28e-5	12.06	0.23	22.35	3
0	5	0	15	0	25	0
3	8.5	21e-5	17.76	0.39	27.27	1.8
6	11.65	28e-4	20.34	0.492	29.36	5.39
9	14.48	0.011	22.797	0.4510	31.37	7.507
12	17.1	0.028	25.16	0.044	33.33	9.41
15	19.55	0.055	27.41	0.08	35.27	10.71
18	21.86	0.09	29.56	0.132	37.17	11.50
21	24.06	0.141	31.63	.199	39.04	11.97
24	26.16	0.1993	33.63	0.28	40.88	12.24
27	28.19	0.265	35.56	0.378	42.68	12.397
30	30.15	0.34	37.44	0.49	44.45	12.50
