Beta	E0	VarE0	E1	VarE1	E2	VarE2
-30	-112.69	1.61e-5	-27.559	.929092	-22.235	203.993
-27	-91.362	1.45e-5	-21.383	.385986	-15.64	200.327
-24	-72.284	1.79e-4	-15.888	.869547	-9.092	188.945
-21	-55.449	1.61e-3	-10.486	.173121	-2.6576	177.682
-18	-40.864	0.00696	-5.6578	0.37896	3.67424	150.01
-15	-28.566	0.01400	-1.1187	1.00768	9.88701	118.444
-12	-18.523	0.01323	3.23677	.3805	15.7929	83.7472
-9	-10.498	5.93e-3	7.33066	.01495	21.1260	46.1205
-6	-4.0669	0.00114	11.1532	0.0372	25.6696	18.3995
-3	1.22079	5.08e-5	14.7923	0.04528	29.4343	3.71974
0	5.72316	2.1e-12	18.2550	4.4e-12	32.632	2.4e-11
3	9.68769	2.96e-5	21.5601	.050487	35.507	1.98952
6	13.2765	3.09e-4	24.7275	.2580	38.2265	5.63498
9	16.5935	0.00100	27.7758	.283009	40.8749	9.03176
12	19.7066	0.00201	30.7319	.119171	43.4914	11.5002
15	22.6613	0.00314	33.5816	.050713	46.0785	13.2233
18	25.4894	.004210	36.3763	.085537	48.6399	14.3183
21	28.2134	.005096	39.0983	.03438	51.1713	14.9748
24	30.8501	.005757	41.733	.05086	53.6775	15.3446
27	33.412	.006189	44.3062	.071201	56.15	15.5375
30	35.9090	.006419	46.8235	.095477	58.5902	15.6288
