made using shakeup_excitedstates.flow
beta	E0	VarE0	E1	VarE1
-30	-112.73	4.32e-6	-108.91	407.078
-25	-78.422	6.46e-7	-73.376	342.297
-20	-50.436	2.48e-8	-42.947	228.345
-15	-28.762	1.7e-11	-17.415	145.254
-10	-13.094	9.7e-13	6.04013	3.24268
-5	-2.2182	5.7e-13	12.4009	7.7e-13
-2	2.79241	1.7e-13	15.9677	3.1e-13
0	5.72316	1.4e-14	18.255	5.1e-13
2	8.41303	7.0e-14	20.4767	4.0e-13
5	12.1086	2.8e-14	23.6972	3.4e-13
10	17.6385	0	28.8034	0
20	27.2991	0	38.2349	8.7e-11
30	35.8941	5.0e-10	46.8895	1.48e-9
40	43.841	3.04e-8	54.9787	1.03e-8
50	51.3367	5.69e-7	62.6381	4.4e-8
