Energy splitting in quatic ax^2+bx^4 potential
beta	E0	E1	E2	Var(E2)
-5	-2.2182	12.4008	26.9983	12.1399
-4.5	-1.3211	13.0073	27.6356	9.49449
-4	-0.4510	13.6089	28.2532	7.22311
-3.5	0.39392	14.2056	28.8521	5.31068
-3	1.21512	14.7976	29.4337	3.73761
-2.5	2.01414	15.3849	29.9992	2.4807
-2	2.7924	15.9676	30.55	1.5142
-1.5	3.55123	16.5459	31.0875	0.81078
-1	4.29188	17.1199	31.6128	0.34243
-0.5	5.0155	17.6895	32.1271	0.08122
0	5.7234	18.255	32.6317	1.1e-12
0.5	6.4158	18.816	33.1276	0.07284
1	7.0945	19.374	33.6158	0.27545
1.5	7.7600	19.9271	34.0972	0.58545
2	8.41302	20.4766	34.5726	0.98246
2.5	9.05443	21.0224	35.0428	1.44823
3	9.68486	21.5644	35.5084	1.96655
3.5	10.3049	22.1029	35.9699	2.52325
4	10.9152	22.6378	36.428	3.10602
4.5	11.5163	23.1692	36.8831	3.70437
5	12.1086	23.6971	37.3355	4.30937
