x,psiSquared,phiSquared
-2,2.244305135566335e-45,5.937165736099399e-43
-1.996089931573803,1.029348144198679e-44,2.721666643645557e-42
-1.992179863147605,2.649851859662753e-44,7.000528411893841e-42
-1.988269794721408,5.535380819122701e-44,1.460726421873023e-41
-1.98435972629521,1.048174719689852e-43,2.762243047123962e-41
-1.980449657869013,1.884221033131813e-43,4.957713624043763e-41
-1.976539589442815,3.2885563277376e-43,8.637921845535195e-41
-1.972629521016618,5.639242013260471e-43,1.478522711349307e-40
-1.96871945259042,9.564127968697096e-43,2.502751216394631e-40
-1.964809384164223,1.610333509245118e-42,4.205570220860695e-40
-1.960899315738025,2.697632093403872e-42,7.030847770483716e-40
-1.956989247311828,4.50199021788674e-42,1.17092746719029e-39
-1.953079178885631,7.490522074684669e-42,1.944134827880339e-39
-1.949169110459433,1.243089837880178e-41,3.219561160872163e-39
-1.945259042033236,2.058230833243328e-41,5.319379212523563e-39
-1.941348973607038,3.400620573838357e-41,8.769842946209799e-39
-1.937438905180841,5.607099926326461e-41,1.442891148390428e-38
-1.933528836754643,9.227015261699248e-41,2.369264516997459e-38
-1.929618768328446,1.515457704579944e-40,3.88283484137515e-38
-1.925708699902248,2.484258887675691e-40,6.351125662500493e-38
-1.921798631476051,4.064691027484717e-40,1.036874643516464e-37
-1.917888563049853,6.638055919104792e-40,1.6895874394158e-37
-1.913978494623656,1.082033402437281e-39,2.748006267889378e-37
-1.910068426197459,1.760474498997225e-39,4.461083308269598e-37
-1.906158357771261,2.858976287770089e-39,7.2285461408938e-37
-1.902248289345064,4.634311831983456e-39,1.169100185618353e-36
-1.898338220918866,7.498178942248908e-39,1.887315918336906e-36
-1.894428152492669,1.210943972289494e-38,3.04110502276736e-36
-1.890518084066471,1.952053824640481e-38,4.89118340180042e-36
-1.886608015640274,3.140948124662583e-38,7.852246400893366e-36
-1.882697947214076,5.044669256786042e-38,1.258267664220875e-35
-1.878787878787879,8.087406970434284e-38,2.012579222194233e-35
-1.874877810361681,1.29417278186581e-37,3.21318286415896e-35
-1.870967741935484,2.067203736459739e-37,5.120614468253034e-35
-1.867057673509287,3.295976032982836e-37,8.145440239431176e-35
-1.863147605083089,5.245612908366461e-37,1.293345495439539e-34
-1.859237536656892,8.333386974406412e-37,2.04985773489543e-34
-1.855327468230694,1.321483240646585e-36,3.242975906391522e-34
-1.851417399804496,2.091790825868935e-36,5.121252857538122e-34
-1.847507331378299,3.305164016836956e-36,8.072775466169091e-34
-1.843597262952102,5.21299885262955e-36,1.27023871318499e-33
-1.839687194525904,8.207365561826886e-36,1.995102870724676e-33
-1.835777126099707,1.289861691242619e-35,3.127982971045773e-33
-1.831867057673509,2.02351959092953e-35,4.895355821751553e-33
