x,psiSquared,phiSquared
-2,1.91326767458369e-42,2.673291742924474e-41
-1.996089931573803,8.767380207148449e-42,1.224712949380135e-40
-1.992179863147605,2.253741703779984e-41,3.147000425696908e-40
-1.988269794721408,4.698843073151125e-41,6.557719714315406e-40
-1.98435972629521,8.876805311924921e-41,1.238049089226435e-39
-1.980449657869013,1.591428983112625e-40,2.217925979199888e-39
-1.976539589442815,2.769348758028482e-40,3.856418031326901e-39
-1.972629521016618,4.733930685761815e-40,6.58643741934484e-39
-1.96871945259042,8.002198605763192e-40,1.112351076229151e-38
-1.964809384164223,1.342745549407695e-39,1.864732544591986e-38
-1.960899315738025,2.24149895289732e-39,3.109865407702827e-38
-1.956989247311828,3.727447971468234e-39,5.166392536360874e-38
-1.953079178885631,6.179455978095686e-39,8.556441347267729e-38
-1.949169110459433,1.021777309244363e-38,1.41338982559902e-37
-1.945259042033236,1.685586355347261e-38,2.329249488067583e-37
-1.941348973607038,2.774648757892785e-38,3.830270328064968e-37
-1.937438905180841,4.557977389024554e-38,6.285611010136946e-37
-1.933528836754643,7.472590716356941e-38,1.029433327785999e-36
-1.929618768328446,1.222707330688453e-37,1.682670882892312e-36
-1.925708699902248,1.996812666808509e-37,2.745122136606173e-36
-1.921798631476051,3.254790647368224e-37,4.469852697582695e-36
-1.917888563049853,5.295230824404427e-37,7.26438762196015e-36
-1.913978494623656,8.598577839118474e-37,1.178373274098012e-35
-1.910068426197459,1.393641945639816e-36,1.90786571095525e-35
-1.906158357771261,2.254556328796939e-36,3.083161098635607e-35
-1.902248289345064,3.640477975662662e-36,4.973135187730162e-35
-1.898338220918866,5.867392070466981e-36,8.006669242144133e-35
-1.894428152492669,9.438935677439907e-36,1.286657368152669e-34
-1.890518084066471,1.515632533519826e-35,2.063788019946707e-34
-1.886608015640274,2.429178915918386e-35,3.304152795694983e-34
-1.882697947214076,3.886167073505903e-35,5.280191782004818e-34
-1.878787878787879,6.205567239190684e-35,8.422392424447598e-34
-1.874877810361681,9.891023157388741e-35,1.340970121507188e-33
-1.870967741935484,1.573628897267003e-34,2.131092142113523e-33
-1.867057673509287,2.499001100879141e-34,3.380543216642447e-33
-1.863147605083089,3.961277282334604e-34,5.352707757103183e-33
-1.859237536656892,6.267731110947726e-34,8.459895237214799e-33
-1.855327468230694,9.899048078952383e-34,1.334634919709906e-32
-1.851417399804496,1.560580295394907e-33,2.101685183035284e-32
-1.847507331378299,2.455783389446481e-33,3.30355966164068e-32
-1.843597262952102,3.857508514182988e-33,5.183314878054292e-32
-1.839687194525904,6.048368878600585e-33,8.117935719578889e-32
-1.835777126099707,9.466421360288909e-33,1.269105813636759e-31
-1.831867057673509,1.478942266111146e-32,1.980459201350667e-31
-1.827956989247312,2.306407707541038e-32,3.084973507073829e-31
-1.824046920821114,3.590393545038861e-32,4.79684936244497e-31
-1.820136852394917,5.579185283687309e-32,7.445287200147457e-31
-1.816226783968719,8.654139932768434e-32,1.15353079621327e-30
-1.812316715542522,1.339994706887973e-31,1.784024955250362e-30
-1.808406647116324,2.071142284778745e-31,2.75421779125351e-30
-1.804496578690127,3.195553644716893e-31,4.244464304299979e-30
-1.80058651026393,4.921678672834948e-31,6.52944657129876e-30
-1.796676441837732,7.566813100708247e-31,1.002675420486018e-29
-1.792766373411535,1.161306901292602e-30,1.537009326020001e-29
-1.788856304985337,1.779167744849251e-30,2.351940886083435e-29
-1.78494623655914,2.720973527557821e-30,3.592623399760809e-29
-1.781036168132942,4.154042232860251e-30,5.478151098673827e-29
-1.777126099706745,6.330795862807365e-30,8.338635044238867e-29
-1.773216031280547,9.631372139504239e-30,1.267057138485966e-28
-1.76930596285435,1.46272306120872e-29,1.921937822291467e-28
-1.765395894428152,2.217592705291664e-29,2.910221150691934e-28
-1.761485826001955,3.356207707920731e-29,4.399038909935772e-28
-1.757575757575758,5.070664612691174e-29,6.637986893564916e-28
-1.75366568914956,7.647713152023174e-29,9.99915680961258e-28
-1.749755620723363,1.151464575323968e-28,1.503627962634409e-27
-1.745845552297165,1.730706793760255e-28,2.257194887716369e-27
-1.741935483870968,2.596880584606047e-28,3.38260273771514e-27
-1.73802541544477,3.889893063409816e-28,5.060434770429621e-27
-1.734115347018573,5.816773928256468e-28,7.557552734492406e-27
-1.730205278592375,8.683347572639253e-28,1.126763276468974e-26
-1.726295210166178,1.294059662027832e-27,1.677042028330431e-26
-1.72238514173998,1.925241284678473e-27,2.491819590324512e-26
-1.718475073313783,2.859442849363271e-27,3.696172685186554e-26
-1.714565004887586,4.239793461224341e-27,5.473341421151282e-26
-1.710654936461388,6.275909060503141e-27,8.091314390685017e-26
-1.706744868035191,9.274251746425579e-27,1.194135150849134e-25
-1.702834799608993,1.368210919787306e-26,1.75937079581909e-25
-1.698924731182796,2.015119439823904e-26,2.587809984799149e-25
-1.695014662756598,2.962946003863669e-26,3.799969562087579e-25
-1.691104594330401,4.349341616268883e-26,5.570602867802213e-25
-1.687194525904203,6.373849099920377e-26,8.152677139068108e-25
-1.683284457478006,9.325242676057301e-26,1.191175827803512e-24
-1.679374389051808,1.362072579201016e-25,1.737523550195562e-24
-1.675464320625611,1.986203457580395e-25,2.530266957939852e-24
-1.671554252199414,2.891560124250495e-25,3.678615714190656e-24
-1.667644183773216,4.202690067720836e-25,5.339327352589618e-24
-1.663734115347019,6.098327960170011e-25,7.737031034569604e-24
-1.659824046920821,8.834543189889296e-25,1.119307487477418e-23
-1.655913978494624,1.277759037795845e-24,1.616640195614842e-23
-1.652003910068426,1.845045150427354e-24,2.331137251074462e-23
-1.648093841642229,2.659866505765618e-24,3.355941929470883e-23
-1.644183773216031,3.8283278263229e-24,4.823416498335533e-23
-1.640273704789834,5.501187757709969e-24,6.921344061852702e-23
-1.636363636363636,7.892298723119107e-24,9.915692990991457e-23
-1.632453567937439,1.130451389372447e-23,1.418254842724583e-22
-1.628543499511241,1.616602437523061e-23,2.025282732997298e-22
-1.624633431085044,2.308124106995473e-23,2.887479016300607e-22
-1.620723362658846,3.290192474410303e-23,4.110128646717021e-22
-1.616813294232649,4.682645727141742e-23,5.841131793992781e-22
-1.612903225806452,6.653815852449195e-23,8.287913608210267e-22
-1.608993157380254,9.439768855199057e-23,1.17409071593573e-21
-1.605083088954057,1.337102431409298e-22,1.660611069644721e-21
-1.601173020527859,1.890960079837726e-22,2.345015117038836e-21
-1.597262952101662,2.670029340992431e-22,3.30625552310515e-21
-1.593352883675464,3.7641535043549e-22,4.654165677458555e-21
-1.589442815249267,5.298316084251717e-22,6.541291828462227e-21
-1.585532746823069,7.446107018676044e-22,9.179162895862349e-21
-1.581622678396872,1.044824102669989e-21,1.286062573843477e-20
-1.577712609970674,1.463798224676674e-21,1.799045705834373e-20
-1.573802541544477,2.047599429126059e-21,2.512725062181775e-20
-1.56989247311828,2.859803273404124e-21,3.504063967411804e-20
-1.565982404692082,3.988010731865799e-21,4.878934204804788e-20
-1.562072336265885,5.552736980568043e-21,6.782743280874648e-20
-1.558162267839687,7.719517134151833e-21,9.414882001964251e-20
-1.55425219941349,1.071536677473356e-20,1.304833402564736e-19
-1.550342130987292,1.485112804064784e-20,1.805624887771879e-19
-1.546432062561095,2.055175729854632e-20,2.494789337144336e-19
-1.542521994134897,2.839731141123982e-20,3.44172133871416e-19
-1.5386119257087,3.91783235889193e-20,4.740832431624845e-19
-1.534701857282502,5.397050216349215e-20,6.520369052853751e-19
-1.530791788856305,7.423533546019668e-20,8.954266528455346e-19
-1.526881720430108,1.019553733174245e-19,1.227805909370288e-18
-1.52297165200391,1.398158511193477e-19,1.681019989548136e-18
-1.519061583577713,1.914481483177873e-19,2.298058532899557e-18
-1.515151515151515,2.617556213220403e-19,3.136865785040679e-18
-1.511241446725318,3.573489996402446e-19,4.275422345140162e-18
-1.50733137829912,4.871272778713389e-19,5.818511992828857e-18
-1.503421309872923,6.630515158382333e-19,7.906718204741711e-18
-1.499511241446725,9.011740065180068e-19,1.072836630117977e-17
-1.495601173020528,1.223004963338326e-18,1.453535087947075e-17
-1.49169110459433,1.657324606868231e-18,1.966407983338592e-17
-1.487781036168133,2.242582092263549e-18,2.656314583268943e-17
-1.483870967741935,3.030066427271428e-18,3.582982935206279e-17
-1.479960899315738,4.088091362656118e-18,4.825817717616481e-17
-1.476050830889541,5.507510014497736e-18,6.490222900913341e-17
-1.472140762463343,7.40897060023162e-18,8.715903639235188e-17
-1.468230694037146,9.952448407495153e-18,1.168775015242476e-16
-1.464320625610948,1.334974897759996e-17,1.565008466304952e-16
-1.460410557184751,1.788088369171073e-17,2.092528190107937e-16
-1.456500488758553,2.391548450928894e-17,2.793806847238313e-16
-1.452590420332356,3.194076606698005e-17,3.724718450206329e-16
-1.448680351906158,4.259798169705857e-17,4.958657518767086e-16
-1.444770283479961,5.672988177114129e-17,6.591889901321841e-16
-1.440860215053763,7.544240177105225e-17,8.750492969223477e-16
-1.436950146627566,1.001847261375138e-16,1.159934361549826e-15
-1.433040078201369,1.328530458392787e-16,1.535374065646857e-15
-1.429130009775171,1.759248201998123e-16,2.029441106047076e-15
-1.425219941348974,2.32632251593426e-16,2.678685595511299e-15
-1.421309872922776,3.071860915452605e-16,3.530625390573436e-15
-1.417399804496579,4.050639517757388e-16,4.646946964094218e-15
