Beta	E0	VarE0	E1	VarE1	E2	VarE2
-30	-112.69	1.61e-5	-27.101	15.2114	-22.421	207.719
-25	-78.395	7.33e-5	-17.792	5.12881	-11.262	376.491
-20	-50.335	0.00285	-8.9613	0.89172	-0.5244	474.435
-15	-28.566	0.01400	-0.9933	26.9339	9.89272	330.252
-10	-12.973	0.00844	6.01646	0.00268	19.4295	57.5397
-5	-2.1975	0.00050	12.3866	0.08200	27.0032	12.0435
0	5.72316	2.1e-12	18.2550	4.4e-12	32.6320	2.4e-11
5	12.1146	0.00017	23.6874	0.30785	37.3298	4.41460
10	17.6512	0.00132	28.7808	1.62628	41.7443	10.1117
15	22.6613	.003145	33.6144	4.39687	46.0609	13.6915
20	27.3159	.004825	38.2445	8.87707	50.3033	15.5863
25	31.7118	.005925	42.7110	15.1905	54.4642	16.5703
30	35.9090	.006419	47.0421	23.3743	58.5370	17.1470
