x,psiSquared,phiSquared
-2,1.257639158792977e-42,2.677826176531993e-41
-1.992172211350294,6.96407911183856e-42,1.481127757992752e-40
-1.984344422700587,2.391760472363946e-41,5.078141640459132e-40
-1.976516634050881,7.176778595418873e-41,1.52059703202021e-39
-1.968688845401174,2.05048034461184e-40,4.334551081388834e-39
-1.960861056751468,5.731230961955572e-40,1.208617616996374e-38
-1.953033268101761,1.581648196901724e-39,3.327167712841033e-38
-1.945205479452055,4.323700903836631e-39,9.07249391865035e-38
-1.937377690802348,1.172191099127202e-38,2.453371240815084e-37
-1.929549902152642,3.153057874498602e-38,6.582341347985525e-37
-1.921722113502935,8.416572187651653e-38,1.752500010651962e-36
-1.913894324853229,2.229696995387372e-37,4.630565028612015e-36
-1.906066536203523,5.862543200166252e-37,1.21431310446508e-35
-1.898238747553816,1.529933708449061e-36,3.160565712016404e-35
-1.89041095890411,3.962964517213521e-36,8.164902542264037e-35
-1.882583170254403,1.018926015793233e-35,2.093644861268888e-34
-1.874755381604697,2.600480498210489e-35,5.32886034624259e-34
-1.86692759295499,6.588195893901015e-35,1.346351124489581e-33
-1.859099804305284,1.656894211450304e-34,3.376667688095979e-33
-1.851272015655577,4.136679079637195e-34,8.406932850584185e-33
-1.843444227005871,1.025300191009779e-33,2.077874811512542e-32
-1.835616438356164,2.522933384361407e-33,5.098553524129122e-32
-1.827788649706458,6.163528901463089e-33,1.242034455289111e-31
-1.819960861056751,1.494979931635465e-32,3.003949346879467e-31
-1.812133072407045,3.600285327126446e-32,7.213351629810939e-31
-1.804305283757339,8.608896034261525e-32,1.719809589355134e-30
-1.796477495107632,2.043997395191505e-31,4.071323522433233e-30
-1.788649706457926,4.818910799097895e-31,9.570090854659031e-30
-1.780821917808219,1.128148960450636e-30,2.233751774949043e-29
-1.772994129158513,2.622686312969325e-30,5.177324203413716e-29
-1.765166340508806,6.054829523283561e-30,1.191627734960663e-28
-1.7573385518591,1.388182222146921e-29,2.723665798650868e-28
-1.749510763209393,3.160773243319975e-29,6.182415363628572e-28
-1.741682974559687,7.147527187465807e-29,1.393692158765258e-27
-1.73385518590998,1.605266750414416e-28,3.120275977787139e-27
-1.726027397260274,3.580806252421404e-28,6.938247441982448e-27
-1.718199608610568,7.933593589232969e-28,1.532323035798176e-26
-1.710371819960861,1.745934225256431e-27,3.361303924644854e-26
